"","price","bedrooms","bathrooms","Sqft_of_home","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","Sqft_of_livinge_room_2015","Sqft_of_lot_2015","Median_Income","Mean_Income","population","people_employed","people_educated","bachelor_degrees","grad_degrees","log_p"
"1",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,1340,5650,60839,74831,25363,12091,17242,3113,1370,12.3099821089207
"2",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1690,7639,54561,77284,39254,21120,28365,8769,6040,13.1956138391439
"3",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,2720,8062,90588,106180,21568,10783,14892,4806,2727,12.1007121298723
"4",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,1360,5000,90625,106952,15415,9096,12025,4487,2404,13.311329476917
"7",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,2238,6819,46250,61010,46008,21432,30004,4648,1865,12.4587749990859
"8",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,1650,9711,55845,70268,36495,17499,25240,3891,1913,12.5839952506319
"9",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,1780,8113,58429,79111,26730,12973,18034,3308,1610,12.3436583084827
"10",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,2390,7570,96134,107851,34362,16520,22542,5616,2160,12.6854076022048
"15",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,1360,4850,77170,95689,23488,16073,19719,8553,4848,13.1806322855283
"16",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,2140,4000,68342,92756,22849,12110,16469,5243,2623,13.3847276418718
"17",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,1890,14018,96630,114944,11143,5672,7326,2416,731,12.8866410438833
"19",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,1060,5095,45078,54713,33817,14272,21690,2015,637,12.1495022940418
"20",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,1280,8850,46250,61010,46008,21432,30004,4648,1865,12.3458345879053
"21",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,1400,4980,53836,69529,46329,24878,34944,9717,4648,12.8609986132699
"23",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,2240,7005,74144,89981,42380,20347,27351,6093,2792,12.5602444592508
"24",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,1220,8386,52713,65762,36730,16092,22367,3349,1133,12.4399582933763
"25",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,2200,6865,52713,65762,36730,16092,22367,3349,1133,12.7038130297475
"26",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,1030,4705,45078,54713,33817,14272,21690,2015,637,12.3587937325478
"27",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,1760,3573,73794,122395,23912,15342,17421,7218,5057,13.7504385612206
"28",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,1860,3861,103816,162949,22230,12734,16892,6256,6715,13.4105453248978
"31",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,2580,3980,102025,125816,27855,14967,19891,6923,4184,13.2716450801201
"32",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,1390,1756,53836,69529,46329,24878,34944,9717,4648,12.5425448821514
"33",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,1460,5000,92316,108574,31921,19236,23976,9337,6322,13.4408171085229
"34",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,1570,5080,92316,108574,31921,19236,23976,9337,6322,13.1900220258781
"35",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,2020,8720,82134,95411,44430,23280,30762,8545,3142,12.683858415218
"38",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,1730,4700,77170,95689,23488,16073,19719,8553,4848,13.3692234553359
"39",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,1290,7800,71555,85389,32194,15530,21493,3623,1278,12.3883942023241
"40",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,2620,11884,73330,94174,33944,18957,24046,6177,2986,13.312983737013
"44",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,1580,2640,73794,122395,23912,15342,17421,7218,5057,13.4371741172444
"45",309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,1340,8808,82134,95411,44430,23280,30762,8545,3142,12.6410965558799
"46",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,3050,9232,96630,114944,11143,5672,7326,2416,731,13.0980706848353
"47",210490,3,1,990,8528,1,0,0,3,6,990,0,1966,1228,8840,72303,86045,50065,25296,32832,6007,3011,12.2571934250379
"48",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,2680,13685,79579,98318,26269,14444,19103,7289,4937,13.5734389967645
"51",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,1190,9364,46871,60372,10659,5255,6881,1031,359,12.3371009079366
"53",6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,1410,4080,92316,108574,31921,19236,23976,9337,6322,13.3046849341983
"54",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,1480,6738,92316,108574,31921,19236,23976,9337,6322,13.279367126214
"55",920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,2730,6000,49647,91786,45515,22940,20694,7943,7250,13.7321289490252
"56",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,1950,5000,49647,91786,45515,22940,20694,7943,7250,13.6933429239901
"57",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,2250,4500,89352,102333,44894,23934,31039,6640,2815,12.586219945654
"58",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,2690,4750,89352,102333,44894,23934,31039,6640,2815,12.614865543731
"60",430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,2270,8542,93918,113787,36409,18884,24796,7243,3704,12.9715404876697
"62",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,1290,8750,46871,60372,10659,5255,6881,1031,359,12.5741819670946
"63",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,2500,9500,66323,89866,21087,10825,15070,3695,2129,13.1323137082575
"65",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,1440,4080,60563,89761,35052,22656,25268,9679,6099,12.9598444479066
"66",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,1440,4000,62633,93145,28302,16189,21495,6420,3829,12.6686267206225
"67",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,2750,11049,102374,148860,32587,17207,24560,9986,7517,13.79019274998
"68",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,2221,4557,71555,85389,32194,15530,21493,3623,1278,12.5672374947418
"69",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,1010,12635,89352,102333,44894,23934,31039,6640,2815,12.2258752728264
"72",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,1640,4745,81694,102856,42590,23454,30736,10266,5543,12.6915804613119
"73",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,1510,7807,54561,77284,39254,21120,28365,8769,6040,13.2551444886381
"74",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,2420,5000,96134,107851,34362,16520,22542,5616,2160,12.7938593104323
"77",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,1680,7500,86005,120029,24751,12214,17928,6228,3554,12.8479265317026
"78",480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,890,5060,77781,103895,23968,13416,18608,7160,4064,13.0815413828841
"79",410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,1130,5693,53836,69529,46329,24878,34944,9717,4648,12.9239124386805
"81",390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,2350,5363,96134,107851,34362,16520,22542,5616,2160,12.8739020181058
"82",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,1870,6405,96134,107851,34362,16520,22542,5616,2160,12.7938593104323
"83",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,1720,6720,55725,76481,44839,21938,31643,6978,4482,12.7798730684576
"84",356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,1850,8797,93918,113787,36409,18884,24796,7243,3704,12.7826860098342
"85",315000,3,1,960,6634,1,0,0,3,6,960,0,1952,1570,7203,54561,77284,39254,21120,28365,8769,6040,12.6603279178078
"86",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,2020,4800,73794,122395,23912,15342,17421,7218,5057,13.7536351542462
"87",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,1590,8165,74144,89981,42380,20347,27351,6093,2792,12.6280670555895
"88",461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,1900,7349,73330,94174,33944,18957,24046,6177,2986,13.0411533219788
"89",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,1950,2025,73330,94174,33944,18957,24046,6177,2986,12.2783933071098
"90",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,1030,1106,90625,106952,15415,9096,12025,4487,2404,12.7218858108072
"91",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,1980,7510,72303,86045,50065,25296,32832,6007,3011,12.4028722215048
"93",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,1350,10500,72303,86045,50065,25296,32832,6007,3011,11.9381932003746
"94",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,1570,4500,92316,108574,31921,19236,23976,9337,6322,12.9715404876697
"95",7e+05,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,1570,4500,92316,108574,31921,19236,23976,9337,6322,13.4588356140255
"98",199000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,1160,6400,72303,86045,50065,25296,32832,6007,3011,12.2010601037066
"101",850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,2200,4500,75155,103436,23655,17991,19623,8339,5895,13.6539676226175
